baybay-an Enclitic; ! abandon
iturog Enclitic; ! lead
bulong Enclitic; ! leaf
saluyot Enclitic; ! leaf
bunggoy Enclitic; ! league
panagkakadua Enclitic; ! league
agobo Enclitic; ! leak
agtedted Enclitic; ! leak
agtilpat Enclitic; ! leak
ahiray Enclitic; ! lean
ahirig Enclitic; ! lean
agsanghir Enclitic; ! lean
bangking Enclitic; ! leaning
isanghir Enclitic; ! lean
nakuttong Enclitic; ! lean
lagto Enclitic; ! leap
lumagto Enclitic; ! leap
adalen Enclitic; ! learn
agsuro Enclitic; ! learn
isuro Enclitic; ! learn
suro Enclitic; ! learn
sursuruen Enclitic; ! learn
salda Enclitic; ! lease
sinaldaan Enclitic; ! lease
kabassitan Enclitic; ! least
lalat Enclitic; ! leather
agtalaw Enclitic; ! leave
palubos Enclitic; ! leave
pumanaw Enclitic; ! leave
maibalakad Enclitic; ! lecture
alimatek Enclitic; ! leech
alinta Enclitic; ! leech
guyaban Enclitic; ! leer
kanihid Enclitic; ! left
kaliwa Enclitic; ! left
kanihid Enclitic; ! left
kalintegan Enclitic; ! legal
nalawag Enclitic; ! legible
panagpabulod Enclitic; ! lending
panagpautang Enclitic; ! lending
ipabulod Enclitic; ! lend
isilpo Enclitic; ! lengthen
basbassit Enclitic; ! less
napabassit Enclitic; ! less
amangan Enclitic; ! lest
wenno Enclitic; ! lest
surat Enclitic; ! letter
nasimpa Enclitic; ! level
panagsimpa Enclitic; ! level
simpaen Enclitic; ! level
liberal Enclitic; ! liberal
napawayway Enclitic; ! liberal
wayawayaan Enclitic; ! liberate
napalubosan Enclitic; ! licensed
lisensia Enclitic; ! license
palubos Enclitic; ! license
abaken Enclitic; ! lick
agdilpat Enclitic; ! lick
balihi Enclitic; ! lick
dilapen Enclitic; ! lick
dilpat Enclitic; ! lick
dilpatan Enclitic; ! lick
ahidda Enclitic; ! lie
agulbod Enclitic; ! lie
alilaw Enclitic; ! lie
humiga Enclitic; ! lie
ulbod Enclitic; ! lie
agbagkat Enclitic; ! lift
bagkaten Enclitic; ! lift
bagkaten Enclitic; ! lift
ingato Enclitic; ! lift
palag-anen Enclitic; ! lighten
silawan Enclitic; ! lighten
gangtan Enclitic; ! light
nalag-an Enclitic; ! light
nalawag Enclitic; ! light
raniag Enclitic; ! light
silaw Enclitic; ! light
kanunongan Enclitic; ! like
kapada Enclitic; ! like
karupa Enclitic; ! like
kayat Enclitic; ! like
hilig Enclitic; ! like
iliwen Enclitic; ! like
kas Enclitic; ! like
kas-la Enclitic; ! like
kayat Enclitic; ! like
mabalin Enclitic; ! likely
idilig Enclitic; ! liken
itulad Enclitic; ! liken
yasping Enclitic; ! liken
umasping Enclitic; ! like
wenno Enclitic; ! likewise
pannakaitagay Enclitic; ! lilt
apog Enclitic; ! lime
kedngan Enclitic; ! limit
patinggana Enclitic; ! limit
agpilpilay Enclitic; ! limping
linia Enclitic; ! line
tanda Enclitic; ! line
uhes Enclitic; ! line
agbayag Enclitic; ! lingering
pagsilpuen Enclitic; ! link
rangtayan Enclitic; ! link
silpo Enclitic; ! link
idayaw Enclitic; ! lionize
itan-ok Enclitic; ! lionize
agay-ayus Enclitic; ! liquid
katalogo Enclitic; ! list
alingahen Enclitic; ! listen
denghen Enclitic; ! listen
dinghin Enclitic; ! listen
dungem Enclitic; ! listen
dumdumngeng Enclitic; ! listening
makinig Enclitic; ! listen
ilista Enclitic; ! list
isurat Enclitic; ! list
lista Enclitic; ! list
bassit Enclitic; ! little
agbiag Enclitic; ! live
agtaeng Enclitic; ! live
naparagsit Enclitic; ! lively
sibibiag Enclitic; ! lively
mabuhay Enclitic; ! live
atay Enclitic; ! liver
dalem Enclitic; ! liver
igado Enclitic; ! liver
ikarga Enclitic; ! load
ipaawit Enclitic; ! load
karga Enclitic; ! load
sarita Enclitic; ! loaf
ipautang Enclitic; ! loan
pabulod Enclitic; ! loan
panangpautang Enclitic; ! loan
pautang Enclitic; ! loan
busoren Enclitic; ! loathe
guraen Enclitic; ! loathe
nakasimsimbron Enclitic; ! loathsome
pagtakderan Enclitic; ! lobby
pagurayan Enclitic; ! lobby
distrito Enclitic; ! local
biroken Enclitic; ! locate
sapulen Enclitic; ! locate
saraken Enclitic; ! locate
kandado Enclitic; ! lock
isera Enclitic; ! lock
itulbek Enclitic; ! lock
pagsera Enclitic; ! lock
tulbek Enclitic; ! lock
ahinana Enclitic; ! lodge
agtaeng Enclitic; ! lodge
gimong Enclitic; ! lodge
nangato Enclitic; ! lofty
narimbaw Enclitic; ! lofty
agbukbukod Enclitic; ! lone
agmaymaysa Enclitic; ! lone
agmaymaysa Enclitic; ! lonely
maymaysá Enclitic; ! lonely
naladngit Enclitic; ! lonely
naleddaang Enclitic; ! lonely
naliday Enclitic; ! lonely
talipungawen Enclitic; ! lonely
malmalday Enclitic; ! lonesome
talipungawen Enclitic; ! lonesome
atiddog Enclitic; ! long
attiddug Enclitic; ! long
nabayag Enclitic; ! long
ybsmhe Enclitic; ! long
kita Enclitic; ! look
kitaen Enclitic; ! look
pagablan Enclitic; ! loom
silo Enclitic; ! loop
nalawa Enclitic; ! loose
nalokay Enclitic; ! loose
ibulos Enclitic; ! loosen
lukayan Enclitic; ! loosen
apo Enclitic; ! lord
Apo Enclitic; ! lord
maabak Enclitic; ! lose
maawan Enclitic; ! lose
napukaw Enclitic; ! lose
napukaw Enclitic; ! lose
naabak Enclitic; ! lost
napukaw Enclitic; ! lost
dami Enclitic; ! lot
laaw Enclitic; ! loud
naariwawa Enclitic; ! loud
ngpigsa Enclitic; ! loud
tabugnao Enclitic; ! loud
ayat Enclitic; ! love
kuna Enclitic; ! love
naayo Enclitic; ! lovely
nakaay-ayat Enclitic; ! lovely
panagayat Enclitic; ! love
panangipateg Enclitic; ! love
puyat Enclitic; ! love
ab-ababa Enclitic; ! lower
napudno Enclitic; ! low
nagasat Enclitic; ! lucky
nakakatkatawa Enclitic; ! ludicrous
maligamgám Enclitic; ! lukewarm
kayo Enclitic; ! lumber
tabla Enclitic; ! lumber
agbala Enclitic; ! lunatic
aguoyong Enclitic; ! lunatic
kurang Enclitic; ! lunatic
balun Enclitic; ! lunch
pangngaldaw Enclitic; ! lunch
appan Enclitic; ! lure
awis Enclitic; ! lure
awisen Enclitic; ! lure
ay-ayo Enclitic; ! lure
ay-aywen Enclitic; ! lure
uyutan Enclitic; ! lure
agbantay Enclitic; ! lurk
aglemmeng Enclitic; ! lurk
aguray Enclitic; ! lurk
nalukmeg Enclitic; ! lush
natubbog Enclitic; ! lush
gartem Enclitic; ! lust
iliw Enclitic; ! lust
tarigagay Enclitic; ! lust
adu Enclitic; ! luxuriant
nabuslon Enclitic; ! luxuriant
makina Enclitic; ! machine
makina Enclitic; ! machine
agbala Enclitic; ! mad
agpungtot Enclitic; ! madden
papungtoten Enclitic; ! madden
makapungtot Enclitic; ! mad
naunget Enclitic; ! mad
enkanto Enclitic; ! magic
salamanka Enclitic; ! magic
awisen Enclitic; ! magnetize
guyoden Enclitic; ! magnetize
nabileg Enclitic; ! magnificent
nagloriaan Enclitic; ! magnificent
nautan-ok Enclitic; ! magnificent
balasang Enclitic; ! maiden
natakneng Enclitic; ! maidenly
ahibuson Enclitic; ! mail
bgaten Enclitic; ! mail
koreo Enclitic; ! mail
sursurat Enclitic; ! mail
ituloy Enclitic; ! maintain
dakkel Enclitic; ! majestic
natan-ok Enclitic; ! majestic
kangrunaan Enclitic; ! major
agaramid Enclitic; ! make
aramid Enclitic; ! make
aramiden Enclitic; ! make
ibayog Enclitic; ! make
ipasay Enclitic; ! make
marka Enclitic; ! make
apagbiit Enclitic; ! makeshift
napaay Enclitic; ! malcontent
lalaki Enclitic; ! male
timbengen Enclitic; ! manage
bilin Enclitic; ! mandate
dadaelen Enclitic; ! mangle
iwaen Enclitic; ! mangle
lasangen Enclitic; ! mangle
rebbaen Enclitic; ! mangle
derep Enclitic; ! maniac
ottog Enclitic; ! maniac
adu Enclitic; ! manifold
nadumaduma Enclitic; ! manifold
iggaman Enclitic; ! manipulate
iturong Enclitic; ! manipulate
lakay Enclitic; ! man
lalaki Enclitic; ! man
papigsaen Enclitic; ! man
tao Enclitic; ! man
libro Enclitic; ! manual
panagsanay Enclitic; ! manual
aramid Enclitic; ! manufacture
takki Enclitic; ! manure
adu Enclitic; ! many
nawadwad Enclitic; ! many
mapa Enclitic; ! map
hulin Enclitic; ! marble
marmol Enclitic; ! marble
martsa Enclitic; ! march
Marso Enclitic; ! march
butak Enclitic; ! mark
palengke Enclitic; ! market
tiendaan Enclitic; ! market
marka Enclitic; ! mark
tanda Enclitic; ! mark
panagkalaysa Enclitic; ! marry
banuar Enclitic; ! martyr
martir Enclitic; ! martyr
datdatiang Enclitic; ! marvelous
nakakaskasdaaw Enclitic; ! marvelous
kalubkub Enclitic; ! masked
maskara Enclitic; ! mask
panagmaskara Enclitic; ! masquerade
agmasahe Enclitic; ! massage
ilot Enclitic; ! massage
iluten Enclitic; ! massage
masahe Enclitic; ! massage
dayup Enclitic; ! mass
misa Enclitic; ! mass
simisa Enclitic; ! mass
adalen Enclitic; ! master
apo Enclitic; ! master
lider Enclitic; ! master
pangulo Enclitic; ! master
parameken Enclitic; ! master
agsalsal Enclitic; ! masturbate
amoss Enclitic; ! masturbate
isalsal Enclitic; ! masturbate
hakk-opp Enclitic; ! masturbate
gorabis Enclitic; ! matches
grabis Enclitic; ! match
gurabis Enclitic; ! match
ipadpad Enclitic; ! match
iparis Enclitic; ! match
itulad Enclitic; ! match
asawa Enclitic; ! mate
kadua Enclitic; ! mate
manadaan Enclitic; ! mate
kasapulan Enclitic; ! material
ikamen Enclitic; ! mat
banag Enclitic; ! matter
linaon Enclitic; ! matter
panghep Enclitic; ! matter
ules Enclitic; ! mat
baywen Enclitic; ! maul
tumeken Enclitic; ! maul
mabalin Enclitic; ! maybe
nalabit Enclitic; ! maybe
seguru Enclitic; ! maybe
kaaduan Enclitic; ! mean
kadsaaran Enclitic; ! mean
karit Enclitic; ! mean
agrikosrikos Enclitic; ! meandering
panagpailailang Enclitic; ! meandering
kaipapanan Enclitic; ! meaning
dungrit Enclitic; ! meaning
kaipapanan Enclitic; ! meaning
nanababa Enclitic; ! mean
tengnga Enclitic; ! mean
kabayatan Enclitic; ! meantime
bassit Enclitic; ! measly
rukod Enclitic; ! measure
rukoden Enclitic; ! measure
sukakat Enclitic; ! measure
sukaten Enclitic; ! measure
mekaniko Enclitic; ! mechanic
makibiang Enclitic; ! meddle
makibibiang Enclitic; ! meddling
agas Enclitic; ! medicine
naanus Enclitic; ! meek
nadayaw Enclitic; ! meek
napakumbaba Enclitic; ! meek
agkita Enclitic; ! meet
agsabat Enclitic; ! meet
agsabet Enclitic; ! meet
agsarak Enclitic; ! meet
miting Enclitic; ! meeting
taripnong Enclitic; ! meeting
sumabet Enclitic; ! meet
naladingit Enclitic; ! melancholy
marunaw Enclitic; ! melt
pannakarunaw Enclitic; ! melt
runaw Enclitic; ! melt
ikabesa Enclitic; ! memorize
tandaanan Enclitic; ! memorize
peggad Enclitic; ! menace
nakilo Enclitic; ! mendacious
ulbod Enclitic; ! mendacious
daiten Enclitic; ! mend
agpalpalama Enclitic; ! mendicant
takupan Enclitic; ! mend
tarakun Enclitic; ! mental
pananginagan Enclitic; ! mention
panangisarita Enclitic; ! mention
naagum Enclitic; ! mercenary
tahilako Enclitic; ! merchandise
laeng Enclitic; ! mere
maymaysa Enclitic; ! mere
gunggona Enclitic; ! merit
pammadayaw Enclitic; ! meritorious
pateg Enclitic; ! merit
naragsak Enclitic; ! merry
onis Enclitic; ! merry
damag Enclitic; ! message
mensahe Enclitic; ! message
wara Enclitic; ! mess
ganaka Enclitic; ! metal
napartak Enclitic; ! meteoric
metro Enclitic; ! meter
pagrukod Enclitic; ! meter
baet Enclitic; ! middle
tengnga Enclitic; ! middle
napigsa Enclitic; ! mighty
managalis Enclitic; ! migratory
ratik Enclitic; ! mildew
naalumamay Enclitic; ! mild
naraman Enclitic; ! mild
naregta Enclitic; ! militant
sisasagana Enclitic; ! militant
busoren Enclitic; ! militate
sarangten Enclitic; ! militate
supiaten Enclitic; ! militate
gatas Enclitic; ! milk
gatasen Enclitic; ! milk
gilingan Enclitic; ! mill
aghil-hiling Enclitic; ! milling
riwriw Enclitic; ! million
maikariwriw Enclitic; ! millionth
agtutulad Enclitic; ! mimic
ikaso Enclitic; ! mind
isip Enclitic; ! mind
panunot Enclitic; ! mind
silalahip Enclitic; ! mind
kukuak Enclitic; ! mine
pagminasan Enclitic; ! mine
makilaok Enclitic; ! mingle
ministro Enclitic; ! minister
kanito Enclitic; ! minute
minuto Enclitic; ! minute
kapitakan Enclitic; ! mire
iladawan Enclitic; ! mirror
iparangarang Enclitic; ! mirror
sarming Enclitic; ! mirror
naragsak Enclitic; ! mirthful
nadumaduma Enclitic; ! miscellaneous
Miss Enclitic; ! miss
sika Enclitic; ! miss
agbiddut Enclitic; ! mistake
biddut Enclitic; ! mistake
riro Enclitic; ! mistake
angep Enclitic; ! mist
naangep Enclitic; ! misty
naulep Enclitic; ! misty
ikiwar Enclitic; ! mix
pagampuren Enclitic; ! mix
paglaoken Enclitic; ! mix
pagtiponen Enclitic; ! mix
agasug Enclitic; ! moan
asug Enclitic; ! moan
unnoy Enclitic; ! moan
guyaban Enclitic; ! mock
laisen Enclitic; ! mock
modelo Enclitic; ! model
pagtuladan Enclitic; ! model
kalalainganna Enclitic; ! moderate
agdama Enclitic; ! modern
baro Enclitic; ! modern
napakumbaba Enclitic; ! modest
nabasa Enclitic; ! moist
nadam-eg Enclitic; ! moist
boot Enclitic; ! mold
panangsinga Enclitic; ! molest
nadagsen Enclitic; ! momentous
napateg Enclitic; ! momentous
nabaknang Enclitic; ! moneyed
bakes Enclitic; ! monkey
kuditen Enclitic; ! monkey
rabaken Enclitic; ! monkey
songgo Enclitic; ! monkey
sunggo Enclitic; ! monkey
nakabutbuteng Enclitic; ! monstrous
binulan Enclitic; ! monthly
nabileg Enclitic; ! monumental
nasken Enclitic; ! monumental
nalinday Enclitic; ! moody
naulimek Enclitic; ! moody
bulan Enclitic; ! moon
buwan Enclitic; ! moon
kabus Enclitic; ! moon
selag Enclitic; ! moonlight
linnid Enclitic; ! moon
agbagtit Enclitic; ! moonstruck
agbala Enclitic; ! moonstruck
malmalday Enclitic; ! morbid
masaksakit Enclitic; ! morbid
adadu Enclitic; ! more
ad-adu Enclitic; ! more
pay Enclitic; ! more
makapatay Enclitic; ! mortal
matay Enclitic; ! mortal
tao Enclitic; ! mortal
kaaduan Enclitic; ! most
ilokano Enclitic; ! mother
ina Enclitic; ! mother
inang Enclitic; ! mother
nanang Enclitic; ! mother
nanay Enclitic; ! mother
taraknen Enclitic; ! mother
aramid Enclitic; ! motion
gandat Enclitic; ! motive
gapo Enclitic; ! motive
pagapu Enclitic; ! motive
motorsiklo Enclitic; ! motorcycle
motorsiklo Enclitic; ! motorcycle
makina Enclitic; ! motor
motor Enclitic; ! motor
damili Enclitic; ! mould
agdamdamili Enclitic; ! moulder
agsakay Enclitic; ! mount
kabambantayan Enclitic; ! mountainous
ngumato Enclitic; ! mount
agladingit Enclitic; ! mourn
ladingit Enclitic; ! mourn
lumdaang Enclitic; ! mourn
bao Enclitic; ! mouse
bau Enclitic; ! mouse
marabutit Enclitic; ! mouse
sangio Enclitic; ! mouse
ngiwat Enclitic; ! mouth
mayalis Enclitic; ! movable
aggaraw Enclitic; ! move
agkuti Enclitic; ! move
iyakar Enclitic; ! move
umakar Enclitic; ! move
umalis Enclitic; ! move
gapasen Enclitic; ! mow
putden Enclitic; ! mow
adu Enclitic; ! much
nawadwad Enclitic; ! much
perme Enclitic; ! much
unay Enclitic; ! much
gulo Enclitic; ! muddle
riri Enclitic; ! muddle
pitak Enclitic; ! mud
pitak Enclitic; ! mud
agadu Enclitic; ! multiply
paaduen Enclitic; ! multiply
naidagaan Enclitic; ! mundane
nailubongan Enclitic; ! mundane
ili Enclitic; ! municipal
munisipio Enclitic; ! municipal
pammapatay Enclitic; ! murder
panangpapatay Enclitic; ! murder
tanamitim Enclitic; ! murmur
lasag Enclitic; ! muscle
naktang Enclitic; ! muscles
mutia Enclitic; ! muse
panagpanunot Enclitic; ! muse
oong Enclitic; ! mushroom
uong Enclitic; ! mushroom
kuma Enclitic; ! must
masapul Enclitic; ! must
rumbeng Enclitic; ! must
mutal Enclitic; ! mute
naulimek Enclitic; ! mute
umel Enclitic; ! mute
kunesen Enclitic; ! mutilate
tadtaden Enclitic; ! mutilate
agsinnubalit Enclitic; ! mutual
busal Enclitic; ! muzzle
nakaskasdaaw Enclitic; ! mysterious
karkarna Enclitic; ! mystical
nakaskasdaaw Enclitic; ! mystic
kuko Enclitic; ! nail
ilansa Enclitic; ! nail
kuko Enclitic; ! nail
lansa Enclitic; ! nail
ipalpal Enclitic; ! nails
labos Enclitic; ! naked
labus Enclitic; ! naked
lamolamo Enclitic; ! naked
silalabus Enclitic; ! naked
apalido Enclitic; ! name
inaganan Enclitic; ! name
nagan Enclitic; ! name
ngalan Enclitic; ! name
pangalan Enclitic; ! name
riped Enclitic; ! nap
ipalawag Enclitic; ! narrate
isarita Enclitic; ! narrate
akikid Enclitic; ! narrow
dandani Enclitic; ! narrowly
nahistayan Enclitic; ! narrowly
anak Enclitic; ! native
nakayanakan Enclitic; ! native
patneng Enclitic; ! native
tubo Enclitic; ! native
kadawyan Enclitic; ! natural
naalikuteng Enclitic; ! naughty
naalimegmeg Enclitic; ! naughty
asideg Enclitic; ! near
nahistayan Enclitic; ! nearly
malapit Enclitic; ! near
nadikket Enclitic; ! near
kasapulan Enclitic; ! necessary
masapul Enclitic; ! necessary
nasken Enclitic; ! necessary
leeg Enclitic; ! neck
tengnged Enclitic; ! neck
kasapula Enclitic; ! need
kasapulan Enclitic; ! need
kasapulan Enclitic; ! need
dagom Enclitic; ! needle
dagum Enclitic; ! needle
pagdait Enclitic; ! needle
masapul Enclitic; ! need
makasapul Enclitic; ! needy
marigrigat Enclitic; ! needy
dakes Enclitic; ! nefarious
managlipat Enclitic; ! neglectful
managliway Enclitic; ! neglectful
liwayan Enclitic; ! neglect
pannakaliway Enclitic; ! neglect
nangisit Enclitic; ! negro
negro Enclitic; ! negro
kaaruba Enclitic; ! neighbor
kaaroba Enclitic; ! neighbor
karuba Enclitic; ! neighbour
awan Enclitic; ! neither
saan Enclitic; ! neither
tured Enclitic; ! nerve
ur-urat Enclitic; ! nerve
adh Enclitic; ! nervous
managtiherher Enclitic; ! nervous
nabutbuteng Enclitic; ! nervous
agapun Enclitic; ! nestle
ahinana Enclitic; ! nestle
taeng Enclitic; ! nest
umok Enclitic; ! nest
iket Enclitic; ! net
agtengnga Enclitic; ! neutral
bago Enclitic; ! new
baro Enclitic; ! new
sumaruno Enclitic; ! next
kiraber Enclitic; ! nibble
naanindot Enclitic; ! nice
napintas Enclitic; ! nice
nasayaat Enclitic; ! nice
nikkel Enclitic; ! nickel
nikkil Enclitic; ! nickel
birngas Enclitic; ! nickname
palayaw Enclitic; ! nickname
naparagsit Enclitic; ! nimble
nasiglat Enclitic; ! nimble
nuebe Enclitic; ! nine
siam Enclitic; ! nine
syamera Enclitic; ! nine
maikasiam Enclitic; ! ninth
kagaten Enclitic; ! nip
gupden Enclitic; ! nip
palamiisen Enclitic; ! nip
ar-arawan Enclitic; ! no
awan Enclitic; ! no
naayat Enclitic; ! noble
nasudi Enclitic; ! noble
natan-ok Enclitic; ! noble
agtunged Enclitic; ! nod
di Enclitic; ! no
tunged Enclitic; ! nod
haan Enclitic; ! no
ariwawa Enclitic; ! noise
naariwawa Enclitic; ! noisy
naringgor Enclitic; ! noisy
inaganan Enclitic; ! nominate
nalamiis Enclitic; ! nonchalant
awan Enclitic; ! none
kadawyan Enclitic; ! normal
amiaman Enclitic; ! north
amianan Enclitic; ! north
akin-amianan Enclitic; ! northern
saan Enclitic; ! no
aggong Enclitic; ! nose
agong Enclitic; ! nose
agsuek Enclitic; ! nosedive
nalatak Enclitic; ! notable
awan Enclitic; ! not
nota Enclitic; ! note
surat Enclitic; ! note
tanda Enclitic; ! note
haan Enclitic; ! not
awan Enclitic; ! nothing
none Enclitic; ! nothing
owan Enclitic; ! nothing
kitaen Enclitic; ! notice
pakaammo Enclitic; ! notice
ipakaammo Enclitic; ! notify
saan Enclitic; ! not
kabibiag Enclitic; ! novel
nobela Enclitic; ! novel
ita Enclitic; ! now
itattan Enclitic; ! now
tatta Enclitic; ! now
lamolamo Enclitic; ! nude
ussob Enclitic; ! nude
kalbiten Enclitic; ! nudge
iduron Enclitic; ! nudge
bilang Enclitic; ! number
numero Enclitic; ! number
napipikel Enclitic; ! numb
adu Enclitic; ! numerous
napuskol Enclitic; ! numerous
kalaysa Enclitic; ! nuptial
kasar Enclitic; ! nuptial
agtaraken Enclitic; ! nurse
bantayan Enclitic; ! nurse
nurse Enclitic; ! nurse
taraknen Enclitic; ! nurse
agpanunot Enclitic; ! nurture
isuro Enclitic; ! nurture
roskas Enclitic; ! nut
agbala Enclitic; ! nutty
napuso Enclitic; ! obdurate
natured Enclitic; ! obdurate
managtungpal Enclitic; ! obedient
natulnog Enclitic; ! obedient
nalukmeg Enclitic; ! obese
agtungpal Enclitic; ! obey
tungpalen Enclitic; ! obey
gagara Enclitic; ! objective
panghep Enclitic; ! objective
panghep Enclitic; ! object
sumupiat Enclitic; ! object
naipapilit Enclitic; ! oblige
pannakapapilit Enclitic; ! oblige
dadaelen Enclitic; ! obliterate
pukawen Enclitic; ! obliterate
riribuken Enclitic; ! obnoxious
bastos Enclitic; ! obscene
naalas Enclitic; ! obscene
nalidem Enclitic; ! obscure
nasipnget Enclitic; ! obscure
managpaliiw Enclitic; ! observant
paliiwen Enclitic; ! observe
rambakan Enclitic; ! observe
daan Enclitic; ! obsolete
nalapasen Enclitic; ! obsolete
mannangipapilit Enclitic; ! obstinate
natangken Enclitic; ! obstinate
lappedan Enclitic; ! obstruct
alaen Enclitic; ! obtain
sagpaminsan Enclitic; ! occasional
karkara Enclitic; ! occult
nakaskasdaaw Enclitic; ! occult
sakupen Enclitic; ! occupy
rumsua Enclitic; ! occur
karkarna Enclitic; ! odd
maymaysa Enclitic; ! odd
salaisi Enclitic; ! odd
adayo Enclitic; ! off
paruroden Enclitic; ! offend
pasaktan Enclitic; ! offend
makaparurod Enclitic; ! offensive
makasair Enclitic; ! offensive
ikkan Enclitic; ! offer
idiaya Enclitic; ! offer
itdan Enclitic; ! offer
panangidiaya Enclitic; ! offer
pannangted Enclitic; ! offer
agturay Enclitic; ! official
opisial Enclitic; ! official
pangulo Enclitic; ! official
naisina Enclitic; ! off
masansan Enclitic; ! often
masansan Enclitic; ! oftentimes
lana Enclitic; ! oil
manteka Enclitic; ! oil
nalana Enclitic; ! oily
agungik Enclitic; ! oink
baak Enclitic; ! old
baket Enclitic; ! old
daan Enclitic; ! old
lakay Enclitic; ! old
luma Enclitic; ! old
matanda Enclitic; ! old
nabayahen Enclitic; ! old
nataengan Enclitic; ! old
agpartaan Enclitic; ! ominous
mangbutbuteng Enclitic; ! ominous
baybay-an Enclitic; ! omit
ikkaten Enclitic; ! omit
lisian Enclitic; ! omit
dagus Enclitic; ! once
naminsan Enclitic; ! once
bulding Enclitic; ! one-eyed
maysa Enclitic; ! one
sakoy Enclitic; ! one
una Enclitic; ! one
iti Enclitic; ! on
laeng Enclitic; ! only
dumarup Enclitic; ! onward
agayus Enclitic; ! ooze
rumuar Enclitic; ! ooze
agsalagasag Enclitic; ! opaque
ilukat Enclitic; ! open
lukat Enclitic; ! open
lukatan Enclitic; ! open
luktam/lukatam Enclitic; ! open
paglukatan Enclitic; ! open
silulukat Enclitic; ! open
mangaramat Enclitic; ! operate
mangpapagna Enclitic; ! operate
kabusor Enclitic; ! opponent
kalaban Enclitic; ! opponent
managgundaway Enclitic; ! opportunistic
darupen Enclitic; ! oppose
kasango Enclitic; ! opposite
sungani Enclitic; ! opposite
mairurumen Enclitic; ! oppressed
butom Enclitic; ! optional
kumaro Enclitic; ! optional
sibabalikas Enclitic; ! orally
maibalikas Enclitic; ! oral
kahil Enclitic; ! orange
kahel Enclitic; ! orange
orens Enclitic; ! orange
ibilin Enclitic; ! ordain
ipasdek Enclitic; ! ordain
ordenan Enclitic; ! ordain
baon Enclitic; ! order
bilin Enclitic; ! order
ibaon Enclitic; ! order
paipaw-it Enclitic; ! order
panahibaon Enclitic; ! order
urnos Enclitic; ! order
kaaduan Enclitic; ! ordinary
kadawyan Enclitic; ! ordinary
daya Enclitic; ! orient
immuna Enclitic; ! original
nasapa Enclitic; ! original
ulila Enclitic; ! orphan
agkan Enclitic; ! osculate
sabali Enclitic; ! other
niakkat Enclitic; ! ousted
pinaalis Enclitic; ! ousted
ikkaten Enclitic; ! oust
tulisan Enclitic; ! outlaw
balabala Enclitic; ! outline
ruar Enclitic; ! outside
rumuar Enclitic; ! outward
manangituray Enclitic; ! overbearing
natangig Enclitic; ! overbearing
alibuyong Enclitic; ! overcast
sarangten Enclitic; ! overcome
aglipias Enclitic; ! overflow
agliplipias Enclitic; ! overflowing
maipapan Enclitic; ! over
nalpasen Enclitic; ! over
parukmaen Enclitic; ! overpower
rabaw Enclitic; ! over
nalusayat Enclitic; ! overripe
kamkamen Enclitic; ! overtake
isubli Enclitic; ! overthrow
pannakaisubli Enclitic; ! overthrow
pannakaparmek Enclitic; ! overthrow
parmeken Enclitic; ! overthrow
langeban Enclitic; ! overwhelm
utangen Enclitic; ! owe
kukua Enclitic; ! own
Kukuada Enclitic; ! own
Kukuak Enclitic; ! own
Kukuakayo Enclitic; ! own
Kukuam Enclitic; ! own
Kukuami Enclitic; ! own
Kukuata Enclitic; ! own
Kukuatayo Enclitic; ! own
Kukuana Enclitic; ! owns
tahikuaen Enclitic; ! own
tirem Enclitic; ! oyster
addang Enclitic; ! pace
natalna Enclitic; ! pacific
naulimek Enclitic; ! pacific
agbalkot Enclitic; ! pack
agbungon Enclitic; ! pack
agpayat Enclitic; ! pack
balkot Enclitic; ! pack
tampong Enclitic; ! pack
gaod Enclitic; ! paddle
kandado Enclitic; ! padlock
ipanid Enclitic; ! page
panid Enclitic; ! page
nasakit Enclitic; ! painful
naut-ot Enclitic; ! painful
sakit Enclitic; ! pain
agpintar Enclitic; ! paint
pinta Enclitic; ! paint
pintaan Enclitic; ! paint
pintura Enclitic; ! paint
utot Enclitic; ! pain
agkaasmang Enclitic; ! pair
dua Enclitic; ! pair
paris Enclitic; ! pair
kadua Enclitic; ! pal
nabessag Enclitic; ! pale
nalusiaw Enclitic; ! pale
gayyem Enclitic; ! pal
bumbumsag Enclitic; ! pallid
palad Enclitic; ! palm
abbong Enclitic; ! panel
diding Enclitic; ! panel
palanggana Enclitic; ! pan
agal-al Enclitic; ! pant
pantalon Enclitic; ! pant
sapin Enclitic; ! pant
pantalon Enclitic; ! pants
pahilo Enclitic; ! paper
papel Enclitic; ! paper
parupo Enclitic; ! paragraph
agkabatog Enclitic; ! parallel
inutil Enclitic; ! paralytic
kapatgan Enclitic; ! paramount
binungon Enclitic; ! parcel
bungon Enclitic; ! parcel
keleng Enclitic; ! parcel
mapakawan Enclitic; ! pardonable
pakawan Enclitic; ! pardon
pammakawan Enclitic; ! pardon
naganak Enclitic; ! parent
minuyongan Enclitic; ! park
plasa Enclitic; ! park
susardeng Enclitic; ! park
bulilising Enclitic; ! parrot
loro Enclitic; ! parrot
makibingay Enclitic; ! partake
tumipon Enclitic; ! partake
makitaripnong Enclitic; ! participate
makitipon Enclitic; ! participate
pannakiraman Enclitic; ! participate
naisalumina Enclitic; ! particular
ipapanaw Enclitic; ! parting
pakada Enclitic; ! parting
makikadua Enclitic; ! partisan
keleng Enclitic; ! partition
