25 cent piece	binting
kind	kita
kind	klasse
kindle	gangtan
kindle	rubruban pashedan
kindling	pamashedan
kindling	pangaron
kindly	naanus
kindly	naayat
kind	naanus
kind	naemma
kind	nasingpet
king	ari
kingdom	pagarian
kingfisher	salaksak
kiss	agkan
kiss	ahek
kiss	ahek
kiss	bisung
kiss	bisunghin
kiss	tsulalat
kiss	ungngo
kiss	ungen
kitchen	kosina
kitchen	paglutuan
kite	pusa a bassit
kitten	kuting
knave	tao a mangalilaw
kneel	agparintumeng
knee	tumeng
knell	nalinday nga aweng
knife	gusing
knife	imuko
knife	kampit
knife	kumpay
knife	kumpit
knife	kutsilio
knife	lansita
knife	nangudel
knife	natadem
knight	kabalero
knit	agansilio
knock	agkakok
knock	tugtog
knot	buko
knot	siglot
knot	siglut
knov	pahiggaman ti ridaw
know	alamin
know	am-amuk
know	ammo
know	ammuen
knowing	nalaing
knowing	nautek
knowledge	adal
knowledge	kaamwan
knowledge	sursuro
know	malaman
known	agdindinamag
known	nalatak
know	umalam
knuckle (or bamboo knuckle)	boko
knuckle	pungopunguan
label	marka
label	markaan
label	tanda
labor	agtrabaho
labor	aramid
laborer	mangmanghed
labor	manghed
lace	agkordon
lace	igalut
lace	laso
lace	lasuan
lack	agkurang
lack	kinaawan
lack	kinakurang
lack	kurang
lad	baro
ladder	agdan
ladder	ulian
laddle	aklo
laddle	pagtako
lad	ubbing
lad	ubbing a lalaki
lag	agpapaudi; adyan iti likudan
lagoon	dan-aw
laid	iyaplag
lake	danao
lake	dan-aw
lake	lawa
lamb	karnero
lamb	karnero
lament	agladingit
lamentation	panagladingit
lament	ladingiten
lame	pialy
lame	pilay
lamp	kingki
lamp	pagsilawan
land	daga
landlord	akinkukua iti balay nga ababangan
landscape	ladawan ti daga iti adayo
land	sumanglad
lane	akikid a dalan
language	pagsasao
language	pagsasarita
language	sao
lanky	narapis ken natayag
lantern	ilokano por lantern
lantern	pag-silawan
lantern	silawan
lap	saklot
larcency	panagbirkug
larcency	panagtakaw
lard	manteka
lard	manteka
large	dakkel
large	dakkel
largely	nangnangruna
largely	sidadakkel
large	nalawa
lark	tiktikrobong
lash	ablatan
lash	baoten
lash	pagbaot
lash	panaplit
lash	pangor
lassitude	bannog
lassitude	kinakapsut ti bahi
lasting	agpaut
lasting	nabayag
lasting	napaut
last	maudi
last	naudi
late	daydi
lately	itay laeng
lately	nabiit pay
late	naladaw
late	napalabas
late	natayen
later	damdama
later	naud-udi
later	sumangput
latest	naudi
lather	burek; labutab
laud	dayawen
laugh	agkatawa
laugh	agkatawa
laugh	katawa
laughter	katawa
laughter	garakgak
laughter	nagkatkatawa
laugh	tumawa
launch	igayang; ihato; pagunayen a kas bilog iti dagnum
laundress	aglablaba a baket
laundress	labandera
laundry	laba
laundry	pasdek a pakalabaan ken pakaplantsaan ti kawes
lavatory	pagbugguan
lavish	nabuslon
lavish	nalabes a panagbusbos
lavish	nawadwad
lawful	babaen ti linteg
lawful	mayanatop
lawful	nainkalintegan
lawless	awan bigbihenna a linteg
lawless	maikaniwas
lawless	nadursok
law	linteg
lawn	karuotan
lawnmower	pagputed iti ruot
lawsuit	wayat iti panagtunton babaen ti linteg
lawyer	abogado
lawyer	mangilinlinteg
lax	nalukay; nakapsut
lay	ipatugaw
lay	iyaplag
lazy	pi nasadut a baro kaskarne a nadangro
lazy	nasadot
lazy	nasadut
lazy	sadut
lazy	tinatamad
leacherous	naderep
leader	hepe
leader	lider
leader	pangulo
lead	iturog
leaf	bulong
leaf	saluyot
league	bunggoy
league	panagkakadua
leak	abut a pagtedtedan iti danum
leakage	sawaw
leak	agobo
leak	agtedted
leak	agtilpat
leak	panagtedted ti danum iti abut
lean	ahiray
lean	ahirig
lean	agsanghir
leaning	bangking
lean	isanghir
lean	nakuttong
leap	lagto
leap	lumagto
learn	adalen
learn	agsuro
learn	isuro
learn	suro
learn	sursuruen
lease	salda
lease	sinaldaan
leash	tali a naiparaut iti aso
least	kabassitan
leather	lalat
leave	agtalaw
leave	palubos
leave	pumanaw
leave	wayawaya a naited nga ipapanaw
lecture	agbitla a mangisuro
lecture	maibalakad
lecture	maisuro nga adalen
leech	alimatek
leech	alinta
leer	guyaban
left	kanihid
lefthanded	nalalaing nga agtrabaho babaen ti kanihid nga ima
left	kaliwa
left	kanihid
legacy	ipatawid
legacy	tawid
legal	kalintegan
legal	maipapan iti linteg
legend	sarita
legend	tanda
leg	gurong
legible	nalaka a mabasa
legible	nalawag
legilative	maipapan iti panagaramid iti linteg
legislate	agaramid iti linteg
legislature	lehislatura
legislature	pagpandayan iti linteg
legitimacy	hustisia
legitimacy	pannakayanak iti imatang ti linteg
leisure	kanito nga awan nasken nga aramiden
lemon	kalamansi
lemon	dalayap
lemon	kalamansi
lemon	lemon
lending	panagpabulod
lending	panagpautang
lend	ipabulod
length	kaatidug
lengthen	isilpo
lent	Nangina nga Adlaw
less	basbassit
less	napabassit
lesson	leksion
lesson	nabasa a paset wenno naadal a namimpinsan
lest	amangan
lest	no la ket ta
lest	wenno
lethal	nakabutbuteng; makapapatay
let	palabasen; ikkan iti palubos
Let’s go together	Maki-kuyog-ta
Let’s rejoice	Agragsak-tayo
Let’s work together	Makitrabaho-ta
letter	letra ti alpabeto
letter	surat
lettuce	letsugas
levee	tambak
level	nasimpa
level	panagsimpa
level	simpaen
level	tukad iti himong
liability	utang
liar	ulbod
libel	panangidadanes babaen ti naimaldit
liberal	liberal
liberal	napawayway
liberate	wayawayaan
liberty	wayawaya
libido	ottog/arem
libido	uttog
librarian	agay-aywan kadahiti libro
library	biblioteka
library	pagbulodan ken pagbasaan kadahiti libro
licensed	napalubosan
license	lisensia
license	palubos
lick	abaken
lick	agdilpat
lick	balihi
lick	dilapen
lick	dilpat
lick	dilpatan
lie	ahidda
lie	agulbod
lie	alilaw
lie down	ahidda
lie down together	maki-idda
lie	humiga
lie on back	agdata
lie on side	agsikig
lie on stomach	agpakleb (keleb)
lie	ulbod
lieutenant	teniente
life	biag
lifeguard	mangispal iti biag
lift	agbagkat
lift	bagkaten
lift	bagkaten
lift	ingato
lift kamote vine	bagoten
light a lamp	agsinga
light cigarette	agsendi
lighten	palag-anen
lighten	silawan
light	gangtan
lighthouse	sílaw-taaw
light	nalag-an
light	nalawag
lightning	kimat
light	raniag
light	saan a nadagsen
light	saan a nasken
light	silaw
light weight	nalag-an
like	kanunongan
like	kapada
like	karupa
like	kayat
like	hilig
like	iliwen
like	kas
like	kas-la
like	kayat
likely	mabalin
likely	mabalin a kasta
liken	idilig
liken	itulad
liken	yasping
like this	kastoy
like	umasping
likewise	kasta met
likewise	wenno
lilt	naragsak nga ayug
lilt	pannakaitagay
limb	gurong
lime	apog
limelight	raniag
limelight	sinamar
limitation	naikeddeng a pahinggaanna
limit	kedngan
limitless	awan patinggana
limit	patinggana
limping	agpilpilay
lineage	kaman
lineage	nagtuadan
line	linia
linen	dehilo
linen	linen
linen	napateg a papel a pagsuratan
line	tanda
line	uhes
linger	agtalinaed agbati
lingering	agbayag
linguist	maysa a tao a makaammo kadahiti nadumaduma a pagsasao
link	pagsilpuen
link	rangtayan
link	silpo
lionize	idayaw
lionize	itan-ok
lion	leon
lip	bibig
lips	bibig
liquid	a kas danum
liquid	agay-ayus
liquidation	panagdanum
liquidation	panagrikep dahiti agpukpukaw a pasdek
liquid	nalamuyot ken nalintaw
liquor	arak
liquor	arak
liquor	inumen a makabartek
list	katalogo
listen	alingahen
listen	denghen
listen	dinghin
listen	dungem
listening	dumdumngeng
listen	makinig
list	ilista
list	isurat
list	lista
literacy	maipapan iti panagsurat ken panagbasa
literate	ammona ti agbasa ken agsurat
literature	dahiti aramid na naisurat
literature	literatura
little	bassit
Little by little	Saga bassit
live	agbiag
live	agtaeng
livelihood	panagbiag
lively	naparagsit
lively	sibibiag
live	mabuhay
liver	atay
liver	dalem
liver	igado
livestock	dahiti taraken dingen
lizard	alibut
lizard house	alutiit
lizard voice	saltek
load	ikarga
load	ipaawit
load	karga
loaf	galip ti tinapay
loaf	sarita
loan	ipautang
loan	pabulod
loan	palubos a mangaramat
loan	panangpautang
loan	pautang
loathe	busoren
loathe	guraen
loathsome	nakabus busor
loathsome	nakasimsimbron
lobby	pagtakderan
lobby	pagurayan
lobby	siled a pakaawatan ti sangaili
local	distrito
local	maipapan iti disso iti uneg ti pahilian
locate	biroken
locate	sapulen
locate	saraken
location	kasasaad
location	dissom taeng
lock	kandado
lock	isera
lock	itulbek
lockjaw	sakit ti pangal
lock	pagsera
lock	tulbek
lock-up	pagbuludan
lodge	ahinana
lodge	agtaeng
lodge	bassit a balay
lodge	gimong
lodge	pannangted iti apagkanito a panagtaeng
lodging place	pagdagusen
lofty	nangato
lofty	narimbaw
log	dakkel a kayom troso
logic	panangipalawag
logic	urnos ti palawag
log	sinuratan maipapan iti biahe
lone	agbukbukod
lone	agmaymaysa
lonely	agmaymaysa
lonely	maymaysá
lonely	naladngit
lonely	naleddaang
lonely	naliday
lonely	talipungawen
lonesome	malmalday
lonesome	naladingit malidliday
lonesome	talipungawen
long	atiddog
long	attiddug
long	nabayag
longshoreman	kargador kadahit bapor
long	ybsmhe
look	kita
look	kitaen
look	la dawan
loom	pagablan
loom	putan ti gaud
loop	lubid a nasiglot
loop	silo
loose	nalawa
loose	nalokay
loosen	ibulos
loosen	lukayan
loose	saan a naigalot nalukay
loot	banag a nasamsam
lord	apo
lord	Apo
lose	maabak
lose	maawan
lose	mapukaw a kas iti kanito
lose	napukaw
lose	napukaw
lost	naabak
lost	napukaw
lot	dami
lot	naikeddeng a gasat
lot	nailasin a paset
lot	sangkadisso a daga dakkel a gatad wenno bilang
loud	laaw
loud	naariwawa
loud	napigsa nga aweng
loud	ngpigsa
loud	tabugnao
louse	kuto
love	ayat
love	kuna
lovely	naayo
lovely	nakaay-ayat
lovely	nalibnos napintas
love	pag mamahal
love	panagayat
love	panangipateg
love	puyat
lover	agay-ayat
lover	kaayan-ayat
loving	mahal tagalo
lower	ab-ababa
low	napudno
loyalty	kinapudno
luck	gasat
lucky	nagasat
ludicrous	nakakatkatawa
ludicrous	saan a naibatay iti natanang a panunot
lukewarm	maligamgám
lullaby	duayya
lumber	kayo
lumber	tabla
lump	banag a natangken
lump	mapagtitipon amin
lunatic	agbala
lunatic	aguoyong
lunatic	kurang
lunch	balun
lunch	pangngaldaw
lung	bara
lure	appan
lure	awis
lure	awisen
lure	ay-ayo
lure	ay-aywen
lure	uyutan
lurk	agbantay
lurk	aglemmeng
lurk	aguray
lush	nalukmeg
lush	natubbog
luster	raniag
luster	rimat
luster	sileng
lust	gartem
lust	iliw
lust	tarigagay
luxuriant	adu
luxuriant	nabuslon
luxurious	maipapan kadahiti banag a saan a nasken unay iti biag
luxury	banag a saan nasaken iti biag
lye	solusion a pagdalus ken aramiden a sabon
lymph gland	salsalamahi
machete	buneng
machine	makina
machine	makina
machinery	makinaria
machinist n.	makinista
mad	agbala
madam	pangawag iti babai
madden	agpungtot
madden	papungtoten
mad	makapungtot
mad	naunget
magazine	magasine
magazine	pahikaan iti bala ti paltog
magazine	pahiwarnak a pakailanadan kadahiti nadumaduma a bambanag
magazine	tiendaan
magical	maipapan iti aramiden ti salamangkero
magic	enkanto
magician	salamangkero
magic	salamanka
magistrate	mahistrado
magistrate	ukom
magnate	batombalani
magnetize	awisen
magnetize	guyoden
magnificent	nabileg
magnificent	nagloriaan
magnificent	nautan-ok
maid	babai
maid	babaonen a babai
maiden	balasang
maidenly	maipapan iti babai
maidenly	natakneng
mail	ahibuson
mail	bgaten
mail	koreo
mail order	gatangen babaen ti koreo
mail	supot a pagyanan dahiti sursurat
mail	sursurat
main	gitna ng dagat
mainstay	pagsadagan
mainstay	segkat
maintain	ituloy
maintain	salakniban idulin
maintenance	panangituloy
maintenance	salaknib
majestic	dakkel
majestic	natan-ok
majesty	kinatan-ok
major	kangrunaan
majority	kaaduan
make	agaramid
make	aramid
make	aramiden
make	ibayog
make	ipasay
make	kita ken tabas
make	marka
maker	agar-aramid
makeshift	apagbiit
makeshift	apagkanito a maaramat a kas ti kalapaw
make-up	kababalin
make-up	pagpapintas
make-up	urnos
malcontent	di napnek
malcontent	napaay
malediction	lunod
malefactor	kriminal
malefactor	managbasol
male	lalaki
mammary gland	suso
manage	iturong a siannad
manager	mangimaton
manager	mangiturong
manage	timbengen
mandate	bilin
mangle	dadaelen
mangle	iwaen
mangle	lasangen
mangle	rebbaen
mango	manga
mango	mangga
mangrove	kayo nga agramut iti sangana ken agtubo a sabali a pinoun
manhood	panagbiag ti maysa a lalaki
maniac	derep
maniac	ottog
man	ikkan iti abuno a lalaki
manicurist	mangpapintas iti kuko
manifest	papel a pakakitaan iti gargaret ti bapor
manifold	adu
manifold	nadumaduma
manipulate	iggaman
manipulate	iturong
man	lakay
man	lalaki
man	nataengan a lalaki
manners	kababalin
manners	sursuro
man	papigsaen
manslaughter	panangpatay iti adu a tao
man	tao
mantle	abbong ti lamisaan
manual	libro
manual	maipapan iti panangaramat iti ima
manual	panagsanay
manufacture	aramid
manufacturer	agar-aramid
manure	takki
many	adu
many many	grabi
many	nawadwad
many times	adu nga daras
map	mapa
marble	hulin
marble	marmol
march	martsa
march	Marso
mare	kabayan a kabalo
margin	ihid
margin	iking
mark	butak
market	palengke
market	tiendaan
mark	marka
mark	tanda
marriageable	tumutop a tawen a pannakikalaysa
marriage	kasar
marriage	panagkasar
marry	panagkalaysa
martial	maipapan iti kalaysa
martyr	banuar
martyr	martir
marvelous	datdatiang
marvelous	nakakaskasdaaw
marvelous	saan a nakappapati
masculine	maipapan iti lalaki
mask	abbong ti rupa
masked	kalubkub
mask	maskara
masonic	maipanghep kadahiti masonero
mason n.	mangisagana ken agtrabaho iti bato
mason n.	masonero
mason n.	maysa a tao nga agputed
masquerade	panagmaskara
masquerade	pasala a nagmaskara ti tumabuno
massacre	naranggas panagpatay iti adu
massage	agmasahe
massage	ilot
massage	iluten
massage	masahe
mass	dayup
mass	misa
mass	nangnangruna a paset kaaduan
mass	simisa
master	adalen
master	a nanimbag
master	apo
master	lider
master	pangulo
master	parameken
masthead	lagyag ti sasakyan
masthead	paulo ti pagwarnak
masturbate	agsalsal
masturbate	amoss
masturbate	isalsal
masturbate	hakk-opp
matches	gorabis
match	grabis
match	gurabis
match	ipadpad
match	iparis
match	itulad
mate	asawa
mate	kadua
mate	manadaan
mate	opisial ti bapor
material	kasapulan
materialistic	manangipateg iti banag ti lubong
material wealth	nasanikua
mat	ikamen
matter	banag
matter	linaon
matter	panghep
mattress	arpaw
mattress	kultson
mat	ules
mature	nataengan naluumen
maturity	kasasaad ti nataengan
maul	baywen
maul	tumeken
maxim	pagsasao
maxim	prberbio
maybe	mabalin
maybe	nalabit
maybe	seguru
mayflower	Sabong ti Mayo
mayor	alkalde
mayor	mayor
maze	nariribuk a panunot
maze	panagsiddaaw
meadow	karuotan
meadow	tanap a pagaraban dahiti ayup
meal	kanen
meal	ulam
mean	kaaduan
mean	kadsaaran
mean	karit
meandering	agrikosrikos
meandering	panagpailailang
meaning	kaipapanan
meaning	dungrit
meaning	kaipapanan
mean	nanababa
mean	panghepen a sawen
mean	tengnga
meantime	kabayatan
measles	kamoras
measles	tuko
measly	bassit
measly	naakaran iti tuko
measure	rukod
measure	rukoden
measure	sukakat
measure	sukaten
meat	karne
meat	dinardaraan
meat	karne
meat	lasag
mechanic	mekaniko
meciless	awanan asi
meciless	naranggas
medal	medala
meddle	makibiang
meddling	makibibiang
medicine	agas
meditation	panagpanunot
meek	naanus
meek	nadayaw
meek	napakumbaba
meet	agkita
meet	agsabat
meet	agsabet
meet	agsarak
meeting	miting
meeting	taripnong
meet	sumabet
melancholy	naladingit
melody	aweng
melody	ayug
melody	melodia
melody	musika
melting pot	banga a paglaokan
melting pot	pagdaagupan
melt	marunaw
melt	pannakarunaw
melt	runaw
member	kameng
membership	panagkameng
membrane	naingpis a banag a mangkalub iti paset ti bahi
memorial	pakalaglahipan
memorize	ikabesa
memorize	tandaanan
memory	lahip
menace	peggad
mendacious	nakilo
mendacious	ulbod
mend	daiten
mendicant	agpalpalama
mend	takupan
mental	tarakun
mention	pananginagan
mention	panangisarita
mercenary	agpaay gapu la iti kuarta
mercenary	naagum
merchandise	tahilako
merchant	agtagtahilako
mercy	asi
mercy	ayat
mere	laeng
mere	maymaysa
merger	panaglaok
merger	pangtitipon
merit	gunggona
meritorious	pammadayaw
meritorious	tumutop a maikkan iti gunggona
merit	pateg
Merry Christmas to you all	Naimbag nga Paskua yo amin
merry	naragsak
merry	onis
me	siak
message	damag
message	mensahe
mess	wara
metal	ganaka
metaphor	panangtulad
metaphor	panangyarig
meteoric	napartak
meter	metro
meter	pagrukod
method	pamay-an
method	panagaramid
microscopic	babassit a banag a saan a makita ti mata
middle	baet
middle	tengnga
midnight	tengnga ti rabii
midst	let-ang
midst	tengnga
midwife	mangngilot
midwife	partera
mighty	napigsa
migratory	managalis
mildew	ratik
mildew	sakit ti mula
mild	naalumamay
mild	naraman
mile	1760 a yarda
mile	5280 a pie
mileage	kawatiwat
mile	mila
militant	naregta
militant	sisasagana
military	maipapan iti buyot
militate	busoren
militate	sarangten
militate	supiaten
milkfish	bangos
milk	gatas
milk	gatasen
miller	gumihiling
mill	gilingan
milling	aghil-hiling
millionaire	baknang
millionaire	milonario
million	riwriw
millionth	maikariwriw
millipede	diken-diken
mimic	agtutulad
mind	ikaso
mind	isip
mind	panunot
mind	silalahip
mine	kukuak
mine	disso a pagtaudan ti balitok wenno dadduma a metal
mine	pagminasan
miner	minero
mingle	makilaok
miniature adj.	bassit
minister	ministro
minister	pangulo to maysa a benneg
minor	basbassit a bilang
minor	saan a natengan
mint	pagaramidan iti kuarta
minute	kanito
minute	minuto
miracle	milagro
mire	kapitakan
mirror	iladawan
mirror	iparangarang
mirror	sarming
mirthful	naragsak
mirth	rago
mirth	ragsak
miscellaneous	nadumaduma
mischief	kinaranggas
mischief	kinaulpit
mischief	saan a maikanada nga aramid
miserabel	nakakaasi
miserabel	napanglaw
misery	dakkel a pagtuokan
misfortune	dakes a gasat
mission	misyon
miss	Miss
miss	panawangawag iti balasang
miss	sika
mistake	agbiddut
mistake	biddut
mistake	riro
mist	angep
mistress	babai a pangulo ti kaman
mistress	babai nga addaan iti turay wenno panagtahikua
mistress	eskuela
mistress	ina korsamen
misty	naangep
misty	naulep
mix	ikiwar
mix	pagampuren
mix	paglaoken
mix	pagtiponen
mixture	panaglaok
mixture	panagtipon
moan	agasug
moan	asug
moan	unnoy
mobile	nalaka a magunay
mobile	nalaka a masuktan
mob	naringgor a taripnong
mockery	panagguyab
mockery	pananglais
mock	guyaban
mock	laisen
model	modelo
model	pagtuladan
moderate	kalalainganna
moderistic	kabarbaro
modern	agdama
modern	baro
modest	napakumbaba
modest	saan a napasindayaw
mode	ugali
mode	wagas
modification	panagpabaro
moist	nabasa
moist	nadam-eg
moisture	kaabasa
moisture	danum
mold	boot
mole cricket	ararawan
mole	siding
molest	panangsinga
moment	kanito
momentous	nadagsen
momentous	napateg
monarch	agturay
monarch	ari
monarch	monarka
monarchy	emperador
monarchy	pagarian nga iturayan ti ari
monday	Lunes
money-bag	supot ti kuarta
money	kuarta
moneyed	nabaknang
money	kuarta
money	kwarta
money	pirak
monkey	bakes
monkey	kuditen
monkey	rabaken
monkey	songgo
monkey	sunggo
monsieur	apo
monsieur	panagdayaw
monster	nakabutbuteng nga ayup
monstrous	nakabutbuteng
month	bulan
monthly	binulan
monumental	nabileg
monumental	nasken
monumental	rumbeng a lahipen
monument	monumento
mood	kasasaad
mood	rikna
moody	nalinday
moody	naulimek
moon	bulan
moon	buwan
moon	kabus
moonlight	selag
moonlight	silnag ti bulan
moon	linnid
moonstruck	agbagtit
moonstruck	agbala
moral	kababalin a nasayaat
morbid	malmalday
morbid	masaksakit
more	adadu
more	ad-adu
moreover	kasta met
more	pay
morning	agsapa
morning	bigat
morrow	bigat
morsel	sangkakittab sangkabassit a paset
mortality	bilang ti natay
mortality	kasasaad ti managbasol
mortal	makapatay
mortal	matay
mortal	tao
mosquito	lamok
mosquito	lamok
mosquito net	moskitero
moss	lumot
most beautiful	kapintasen
most	kaaduan
most difficult	karegaten
motherhood	kasasaad ti ina
mother	ilokano
mother	ina
mother	inang
mother	nanang
mother	nanay
mother	taraknen
moth	simotsimot
motion	aramid
motion	garaw tignay
motivation	panangipalawag iti gandat
motive	gandat
motive	gapo
motive	pagapu
motley	nadumaduma a kita
motorcycle	motorsiklo
motorcycle	motorsiklo
motorized	addan motor wenno makina
motorman	agpaandar iti motor
motor	makina
motor	motor
motto	pagsasao
motto	repran
mould	damili
moulder	agdamdamili
mount	agsakay
mountain	bantay
mountain	bundok
mountainous	kabambantayan
mount	ngumato
mourn	agladingit
mourn	ladingit
mourn	lumdaang
mouse	bao
mouse	bau
mouse	marabutit
mouse	sangio
mouthful	sangkasakmal
mouth	ngiwat
mouthpiece	pannakangiwat
movable	mayalis
move	aggaraw
move	agkuti
move	iyakar
movement	pinagkakadua
movement	tignay
move	umakar
move	umalis
moving picture	sine
mow	gapasen
mow	putden
much	adu
much	nawadwad
much	perme
much	unay
mucus	buteg
muddle	gulo
muddle	riri
mudfish	dalag
mudfish	paltat
mud	pitak
mud	pitak
mud-skipper	talimusak
mullet	maysa a kita ti ikan
multiply	agadu
multiply	paaduen
multitude	kaaduan
multitude	ummong
mundane	naidagaan
mundane	nailubongan
municipal	ili
municipality	baranggay
municipal	munisipio
murder	nadagsen nga panagpapatay
murder	pammapatay
murder	panangpapatay
murmur	tanamitim
muscle	lasag
muscles	naktang
muse	mutia
muse	panagpanunot
museum	museum
museum	pagtaengan dahiti madal-adal iti un-unana
mushroom	oong
mushroom	uong
mushy	agpaay iti babai
musical	maipapan iti musika
music	ayug
musician	kameng ti orkesta
music	musika
music	tukar
mustache	barbas
must	kuma
must	masapul
must	rumbeng
mute	mutal
mute	naulimek
mute	umel
mutilate	kunesen
mutilate	tadtaden
mutinity	yaalsa ti agpaay iti bapor
mutual	agsinnubalit
muzzle	busal
my	kukuak
My mind hurts.	Nasakit ti panunot ko.
My mind hurts	Nasakit ti panunot ko
myopic	sakit ti mata
myself	siak
mysterious	nakaskasdaaw
mystery	datdatlag
mystery	nalined a banag
mystical	karkarna
mystic	nakaskasdaaw
My stomach hurts.	Nasakit ti buksit ko.
My stomach hurts	Nasakit ti buksit ko
myth	haan nga agpaypayso
nail	kuko
nail	ilansa
nail	kuko
nail	lansa
nails	ipalpal
naked	labos
naked	labus
naked	lamolamo
naked	silalabus
name	apalido
name	inaganan
nameless	awanan iti nagan
name	nagan
name	ngalan
name	pangalan
napkin	serbileta
nap	riped
narrate	ipalawag
narrate	isarita
narration	palawag
narration	sarita
narrow	akikid
narrowly	dandani
narrowly	nahistayan
nasal	maipapan iti agong
nationalistic	naatay iti ili
nationality	tattao o mangbukel iti nasion
nation	pahilian
native	anak
native	nakayanakan
native	patneng
native	tubo
natural	kadawyan
naturalize	awaten a kas maysa a makipahili
naturally	kas kadawyan
naturally	iti kinapudnona
nature	law-ang
nature	magandang umaga
naught	kaawan
naught	pananakaawan
naughty	naalikuteng
naughty	naalimegmeg
nausea	panagsakit ti tian
navel	puseg
navigable	malasatan ti sasakayan
navy	armada
near	asideg
nearly	nahistayan
near	malapit
near	nadikket
necessary	kasapulan
necessary	masapul
necessary	nasken
necessity	kasapulan
necklace	kuentas
necklace	kuentas
neck	leeg
neck	tengnged
necktie	korbata
need	kasapula
need	kasapulan
need	kasapulan
needle	dagom
needle	dagum
needle	pagdait
need	masapul
needy	makasapul
needy	marigrigat
nefarious	dakes
neglectful	managlipat
neglectful	managliway
neglect	liwayan
neglect	pannakaliway
negotiations	saritaan
negotiative	ilako
negotiative	lumasat
negro	nangisit
negro	negro
neighbor	kaaruba
neighborhood	purok
neighbor	kaaroba
neighbour	karuba
neither	awan
neither	saan
neither	uray ania
neophyte	agdadamo
nephew	kaanakan a lalaki
nephew	kaanakan
nerve	tured
nerve	ur-urat
nervous	adh
nervous	managtiherher
nervous	nabutbuteng
nestle	agapun
nestle	ahinana
nest	taeng
nest	umok
net	iket
net income	nasapulan a naikkat ti nabusbos
neutral	agtengnga
Never mind!	Haan nga bale!
never	saan uray inton kaano
nevertheless	uray pa
new	bago
new	baro
news	damag
newspaper	pahiwarnak
newspaper	pahiwarnak
newyear's day	Baro a Tawen
next	sumaruno
nibble	kiraber
nice	naanindot
nice	napintas
nice	nasayaat
niche	pagyanan ti monumento
niche	takem
nickel	lima a sentabo
nickel	nikkel
nickel	nikkil
nickel-plated	nakalupkopan iti nikkel
nickname	birngas
nickname	palayaw
niece	kaanankan a babai
niggard	naimut
niggard	nainut
night bird	saksakulap
night	gabi
night hawk	kulipato
nightmare	arapaap iti rabii
night	rabii
night	rabii (rob-bee-e)
night	saksakulap
nimble	naparagsit
nimble	nasiglat
nine	nuebe
nine	siam
nine	syamera
nineteen	sangapulo ket siam
nineteenth	maikasangapulo ket siam
ninety	sian a pulo
ninth	maikasiam
nip	kagaten
nip	gupden
nip	palamiisen
nipple	mungay
nipple	suso
no	ar-arawan
no	awan
noble	naayat
noble	nasudi
noble	natan-ok
nobody	awan ti uray siasino man
nocturnal	maipapan iti rabii
nod	agtunged
node	buko
no	di
nod	tunged
no	haan
no holes	nalimpia
noise	ariwawa
noisy	naariwawa
noisy	naringgor
nominal	ti nainaganan laeng
nominate	inaganan
nomination	pannakainagan
nominee	kandidato
nominee	nainaganan
nominee	papili
no more	naibus
nonchalant	nalamiis
nonchalant	saan a napinget
none	awan
None of your business	Awan ti biang mo
nonesense	kinamaag
nonstop	awanan sardeng
noon	agmatuon
noon	aldaw
noon	tengnga ti adlaw
No problem	Awan problema
normal	kadawyan
north	amiaman
north	amianan
northern	akin-amianan
nor	wenno
no	saan
nose	aggong
nose	agong
nose	agong nga naka-dugdug-gong
nosebleed	agdaringongo
nosedive	agsuek
notable	nalatak
not	awan
note	nota
note	surat
note	tanda
Not even one	Awan uray maysa
not	haan
nothing	awan
nothing	none
nothing	owan
noticable	maimatangan
notice	kitaen
notice	pakaammo
notify	ipakaammo
notion	pagarup
notion	panunot
notorious	agdindinamag a dakes
Not really	Paltos
not	saan
noun	banag
nourishment	taraon
novel	kabibiag
novel	nobela
novelty	baro a wagas wenno moda
november	Nobiembre
novice	agdadamo
novice	baro
now	ita
now	itattan
now	tatta
nuang calf	kalakyan
nuang cart	kasig
nuang cart	kulba
nuang cart	palatiwan
nuang cart	surelas
nuang	gethet
nuang	korkoridong
nuang mate	agmaya
nuang mate to	agmaya
nuang	pumanakpak
nuang voice	agngoak
nuang wallow	lubnak
nude	lamolamo
nude	ussob
nudge	kalbiten
nudge	iduron
null	awanan kaipapanan
number	bilang
number	numero
numb	napipikel
numerous	adu
numerous	napuskol
nun	monha
nuptial	kalaysa
nuptial	kasar
nurse	agtaraken
nurse	bantayan
nurse	nurse
nursery	pagtaraknan
nurse	taraknen
nurtitiious	naanag
nurture	agpanunot
nurture	isuro
nutrition	panangtaraon
nut	roskas
nutty	agbala
nymph	enkantado
oak	maysa a kita ti kayo idiay Amerika
oar	gaod
oath	kari
oath	panagkari
obdurate	napuso
obdurate	natured
obedience	panagtungpal
obedient	managtungpal
obedient	natulnog
obese	nalukmeg
obey	agtungpal
obey	tungpalen
objection	panangsupiat
objective	gagara
objective	panghep
object	panghep
object	sumupiat
obligation	karbengan
obligation	rebbengen
oblige	naipapilit
oblige	pannakapapilit
obliterate	dadaelen
obliterate	pukawen
obliteration	panangdadael
obliteration	panangpukaw
oblivion	pananglipat
obnoxious	riribuken
obscene	bastos
obscene	naalas
obscure	nalidem
obscure	nasipnget
observant	managpaliiw
observation	paliiw
observe	paliiwen
observe	rambakan
